Country,Date,Exchange Rate ($)
Russia,2019-10,85.06
Russia,2019-11,85.58
Russia,2019-12,86.7
Russia,2020-01,88.13
Russia,2020-02,86.33
Russia,2020-03,75.05
Russia,2020-04,76.47
Russia,2020-05,79.12
Russia,2020-06,81.38
Russia,2020-07,78.07
Russia,2020-08,74.2
Russia,2020-09,71.93
Russia,2020-10,70.53
Russia,2020-11,71.12
Russia,2020-12,72.65
Russia,2021-01,72.34
Russia,2021-02,72.69
Russia,2021-03,74.0
Russia,2021-04,72.56
Russia,2021-05,74.13
Russia,2021-06,76.21
Russia,2021-07,75.93
Russia,2021-08,76.33
Russia,2021-09,77.24
Russia,2021-10,79.98
Russia,2021-11,79.65
Russia,2021-12,79.58
Russia,2022-01,76.86
Russia,2022-02,75.03
Russia,2022-03,61.27
Russia,2022-04,83.57
Russia,2022-05,105.06
Russia,2022-06,115.68
Russia,2022-07,115.52
Russia,2022-08,110.73
Russia,2022-09,113.9
Russia,2022-10,112.44
South Africa,1994-01,123.12
South Africa,1994-02,120.7
South Africa,1994-03,119.6
South Africa,1994-04,115.77
South Africa,1994-05,113.25
